,Unnamed: 0,corredor,cod_mpio,departamento,cod_dpto,municipio,info_type,category,sub_category,keyword,place_id,name,types,latitude,longitude,address,average_rating,user_ratings_total,place_link,phone,website,opening_hours,review_1_rating,review_1_text,review_2_rating,review_2_text,review_3_rating,review_3_text,review_4_rating,review_4_text,review_5_rating,review_5_text,city
0,0,Corredor 1,17174,CALDAS,17,CHINCHINÁ,Infraestructura Turística,Servicios Turísticos,Turismo Termal y Balnearios,"""aguas termales"", ""aguas mineromedicinales"", ""piscinas de agua natural"", ""fuentes termales"", ""manantial termal"", ""piscina termal"", ""centro termal"", ""aguas medicinales"", ""baños termales""",ChIJjY6dCRWDOI4R2ufuGGZFhBM,SAN MIGUEL TERMAL SPA,"establishment,point_of_interest",4.842543399999999,-75.5528404,Santa Rosa de Cabal,5.0,6,https://maps.google.com/?cid=1406325288453728218,,,,5.0,Ok,5.0,Very nice hot springs. Beautiful views. In Bulgaria we also have many mineral springs. It was also very nice here. Different but beautiful.,5.0,Excellent place recommended,5.0,An amazing place to relax and meditate and spend with family,5.0,Beautiful and very comfortable.. elegant,
1,1,Corredor 1,17174,CALDAS,17,CHINCHINÁ,Infraestructura Turística,Servicios Turísticos,Turismo Termal y Balnearios,"""aguas termales"", ""aguas mineromedicinales"", ""piscinas de agua natural"", ""fuentes termales"", ""manantial termal"", ""piscina termal"", ""centro termal"", ""aguas medicinales"", ""baños termales""",ChIJcQk09kCDOI4REc8BTCDn4ZU,Termales Santa Rosa de Cabal,"point_of_interest,tourist_attraction,establishment",4.8319943,-75.5497658,"Vereda #Km 10, Santa Rosa de Cabal",4.5,1998,https://maps.google.com/?cid=10800167507311316753,(606) 3653421,http://www.termales.com.co/,Monday: 6:30 AM – 11:30 PM|Tuesday: 6:30 AM – 11:30 PM|Wednesday: 6:30 AM – 11:30 PM|Thursday: 6:30 AM – 11:30 PM|Friday: 6:30 AM – 11:30 PM|Saturday: 6:30 AM – 11:30 PM|Sunday: 6:30 AM – 11:30 PM,3.0,"The waterfall is amazing and the thermal pools are really nice too, the food is decent too.
Couple of negative points though:
You can only enter 3 specific times a day, 6am, 11am, 6pm. If you arrive at 4pm, you'll have to wait 2 hours.
The prices on the website are cheaper than buying them at the ticket office, but you still need to go to the ticket office to get a wristband.
Even after paying the high ticket price you need to spend 2000 pesos to get access to a locker, for which you need to queue 15 minutes for.
The pools get very packed when I went, at the 6pm session.
There are no hot showers for when you want to leave.
If you go for the 6pm session, ensure you organise some sort of transport since the buses to Santa Rosa stop at 7pm.",5.0,"There's nothing more enchanting for a Vietnamese Gringo to experience this masterpiece etched by the Colombian Gods.

Thank you for this experience Colombia!",4.0,"Nice 5 thermal pools with view to a beautiful waterfall. About 20 minutes drive from Santa Rosa De Caball, if you’re arriving with taxi make sure that you have a way to return, especially at night. At weekend there are 3 ticket options: noon afternoon and evening - make sure to buy the hours you’d like since they run out at weekends.
It’s forbidden to enter food or drinks (beside water), the cafeteria was ok and you can drink inside the pools.",1.0,"Even tough there are not too many people at 7:00 in the morning the line is not moving. The doors supposed to be open at 6:30 however the staff did not arrive until after 7 am. The organisation is chaotic, people there are mad and the even with reservation you will not pass faster. Do not pay online, just make the reservation which is free so you can return without paying if the administration decides to let happen this kind of disorder.",4.0,"We had a great experience here. I will only not five 5 stars because the women's shower, bathroom, and changing room area smelled so strongly of urine that I forgot my sneakers in the changing room because I was trying to get out there as fast as possible. When I realized this, I went to look for them but they were gone. I asked the attendants if someone had turned them in but they were completely unhelpful and I never saw my sneakers again. So great experience, but still some issues that can be improved.",Vereda #Km 10
2,2,Corredor 1,17174,CALDAS,17,CHINCHINÁ,Infraestructura Turística,Servicios Turísticos,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",ChIJY0Ulox9vR44R6JwzMum-oCQ,Fogata Familiar El Águila vía Manizales Altobonito,"point_of_interest,establishment,restaurant,food",5.1093687,-75.5107628,"Manizales-Neira, Manizales",4.4,188,https://maps.google.com/?cid=2639319290418011368,305 3210817,,,5.0,Cool,5.0,"Very good customer service, the food was delicious and they served it pretty quickly. The prices are favorable.",3.0,"What a delicious lunch, I will definitely be back. With the flavor of the Manizale countryside.",5.0,𝑴𝒊 𝒆𝒙𝒑𝒆𝒓𝒊𝒆𝒏𝒄𝒊𝒂 𝒇𝒖𝒆 𝒑𝒂𝒔𝒂𝒓 𝒍𝒖𝒈𝒂𝒓𝒆𝒔 𝒎𝒆 𝒔𝒃𝒊𝒂 𝒖𝒏𝒐 𝒄𝒖𝒂𝒏𝒅𝒐 𝒍𝒍𝒆𝒈𝒂 𝒗𝒊𝒔𝒕𝒆 𝒃𝒐𝒏𝒊𝒕𝒐 𝒎𝒆.𝒆𝒏𝒄𝒂𝒏𝒕𝒂,5.0,"Very delicious, lots of food and very cheap prices. Good seasoning...delicious backbone sancocho and spectacular mazamorra; In addition, the Paisa trays are a delight, highly recommended and very close to the city. This time I returned and it seemed to me that the price went up and the portions are smaller and when they offer a quality menu they must guarantee it in all their ingredients.",Manizales-Neira
3,3,Corredor 1,17174,CALDAS,17,CHINCHINÁ,Infraestructura Turística,Servicios Turísticos,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",ChIJ_7SyuutvR44RQpblo3YBArQ,Restaurante Casero la 23,"point_of_interest,establishment,food,restaurant",5.0670236,-75.5209771,"Cra. 23 #Calle 17, Centro, Manizales",5.0,2,https://maps.google.com/?cid=12970931485847950914,,,,5.0,"Simple, yet great tasting almuerzos (lunch, $12k pesos) or desayuno (breakfast, $9k pesos). There is no street parking, recommend you find some decent parking though nearby for $3,900 - $4,100 pesos and walk to it.",5.0,The best normal Colombian restaurant I've been to. It waa so good I got a second full lunch.,,,,,,,Centro
4,4,Corredor 1,17174,CALDAS,17,CHINCHINÁ,Infraestructura Turística,Servicios Turísticos,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",ChIJt0jmJ0dlR44R0hs4m6g3Bs8,Piqueteadero La Economía,"restaurant,establishment,food,point_of_interest",5.0434551,-75.511111,"Cra. 5 #1124, Villamaría",5.0,2,https://maps.google.com/?cid=14917672013009525714,,,,5.0,"Family atmosphere restaurant and homemade lunch, breakfast, hot drinks and shop",5.0,,,,,,,,Cra. 5 #1124
5,5,Corredor 1,17174,CALDAS,17,CHINCHINÁ,Infraestructura Turística,Servicios Turísticos,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",ChIJ7R4fYIRvR44Rv6U6cJ7OMT0,Para llevar,"establishment,point_of_interest,restaurant,food",5.0643765,-75.4972094,"Av. Santander #51, Manizales",4.0,1,https://maps.google.com/?cid=4409532690055472575,,,,4.0,"Nice place to enjoy a traditional bandeja paisa, open from Wednesday to Sunday",,,,,,,,,Av. Santander #51
6,6,Corredor 1,17174,CALDAS,17,CHINCHINÁ,Infraestructura Turística,Servicios Turísticos,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",ChIJqY5llgt9OI4RzXl8mJ3UvjU,"eventos y catering Accion Gastronomíca eje cafétero, soluciones gastronomícas | estaciones de cafe | barismo | coctelería","establishment,point_of_interest,cafe,food,restaurant,bar",5.0648678,-75.5117696,"Cra. 27 #30 41, Manizales",5.0,1,https://maps.google.com/?cid=3872766502918453709,304 3569940,,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Closed,5.0,,,,,,,,,,Cra. 27 #30 41
7,7,Corredor 1,17174,CALDAS,17,CHINCHINÁ,Infraestructura Turística,Servicios Turísticos,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",ChIJSX9eRoZvR44R_hfF8u-3Dpc,LA OLLA DE LA ESTACION,"point_of_interest,restaurant,food,establishment",5.0671238,-75.5117764,"Cl. 31 #23-04, Manizales",5.0,4,https://maps.google.com/?cid=10884839590599137278,,,,5.0,"Delicious Typical Foods from our Paisa Coffee Region. Highly recommended, all the delicacies that are prepared there, very good atmosphere, excellent attention, cordiality and agility in the service. Meatballs are the specialty of typical homemade food with a taste of yesteryear.",5.0,"Meatball Broth at 10,000",5.0,,5.0,,,,Cl. 31 #23-04
8,8,Corredor 1,17174,CALDAS,17,CHINCHINÁ,Infraestructura Turística,Servicios Turísticos,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",ChIJoXeQjUd1R44RoiMndDYKIuI,Estadero Los Pica Piedras,"food,restaurant,point_of_interest,establishment",5.1629312,-75.6590853,50,4.3,22,https://maps.google.com/?cid=16294597630773109666,,,,5.0,"Excellent service, very attentive staff, delicious food and very economical, definitely my place for lunch when I return from a trip along those roads.",5.0,Very tasty and the service was great....,5.0,Excellent place good service,5.0,Very good service,5.0,Super bn,
9,9,Corredor 1,17174,CALDAS,17,CHINCHINÁ,Infraestructura Turística,Servicios Turísticos,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",ChIJweUaWOJvR44RaiJCI32Sn2s,RESTAURANTE SABOR PAISA,"point_of_interest,restaurant,establishment,food",5.0743342,-75.52552290000001,"Cra. 12, Manizales",4.0,4,https://maps.google.com/?cid=7755078149515387498,,,,5.0,"The service, the hospitality of the people who work there, and the food are all fantastic. I recommend the blood sausage; it's delicious.",1.0,Almost everywhere else in Cyprus is better and cheaper.,5.0,,5.0,,,,Cra. 12
10,10,Corredor 1,17174,CALDAS,17,CHINCHINÁ,Infraestructura Turística,Servicios Turísticos,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",ChIJCyQDqs96R44ROQOQnOTuCfI,Los Arrieros . Cocina Cultural Cafetera,"food,establishment,restaurant,point_of_interest,meal_takeaway",5.059862499999999,-75.54945900000001,"Autopista del Café, Finca El Paraíso, Km. 5, Manizales",4.7,1974,https://maps.google.com/?cid=17440733697615594297,323 5639100,https://www.instagram.com/losarrierosmanizales/profilecard/?igsh=MTV5eWh4NXJtaGxoYg==,Monday: Closed|Tuesday: Closed|Wednesday: 8:30 AM – 7:00 PM|Thursday: 8:30 AM – 7:00 PM|Friday: 8:30 AM – 7:00 PM|Saturday: 8:30 AM – 7:00 PM|Sunday: 8:30 AM – 6:00 PM,5.0,"Los Arrieros is a nice little restaurant with a lovely view, situation on the side of a mountain.  It's only possible to pull into the parking lot while you're on the way up, unfortunately, so if you want to stop in while you're on the way down you'll need to turnaround, and the nearest place to do so isn't very nearby.  This isn't the fault of the establishment, just something worth pointing out.

The food is the traditional Colombian style: farm beans, steak, plantains, fish, and the like.  I tried the baby beef and it was fantastic.  I ordered beans with aguacate for my boys and they loved it.  Everything we tried was very good.

Service was good, but no English so be prepared.  The view is great, and everything was clean, including the restrooms.

If you're looking for traditional Colombian food with a nice view, Los Arrieros is a great choice.  Definitely recommend!",5.0,Very good food with an amazing view!! We enjoyed our meal here very much! Would highly recommend visiting this restaurant!,5.0,Coffee was amazing!  The view is what stunning.,2.0,"Definitely not the day to come for the first time.
We arrived around 3pm.
No beans, if not with a platter, no ketchup, the churrasco lacked flavor, the waiter seemed clueless or new at his job (which is not a bad thing, but no knowledge of their menu), and my little daughter's chicken nuggets took the longest to come out!!!
The place has a Spanish and English menu, but does NOT accommodate special requests...
Really disappointed because the place was well  recommended.
Not even abuelo (the least picky eater there is) was content with the food/service.",5.0,This experience had been wonderfull.,Km. 5
11,11,Corredor 1,17174,CALDAS,17,CHINCHINÁ,Infraestructura Turística,Servicios Turísticos,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",ChIJO_wpm8F7R44R5bTLLDbKHQU,Granja María - Gastronomía Colombiana,"food,point_of_interest,restaurant,establishment",4.9924764,-75.5764423,"frente estación de servicio la Rosa, Antigua vía Chinchina #km 12, Manizales",4.5,299,https://maps.google.com/?cid=368673078542841061,322 4175362,https://granjamaria.com/,Monday: Closed|Tuesday: 11:30 AM – 6:30 PM|Wednesday: 11:30 AM – 6:30 PM|Thursday: 11:30 AM – 6:30 PM|Friday: 11:30 AM – 6:30 PM|Saturday: 11:30 AM – 6:30 PM|Sunday: 11:30 AM – 6:30 PM,2.0,"Mostly fat chicharron, sangria diluted with probably water... not impressive at all. Below average food. I've had better typical food going to humble restaurants.",1.0,"The salmon was full of oil and came in pieces, the waiting time was just insane, the waiter did not write the order correctly, the girl in charge of the register was nice and polite and gave us the money back for something that we didn’t order. The view is awesome.  The food is kind of average, for the price it should be better.",5.0,"A very nice place with a very pleasant atmosphere.Very good service, the food comes in very good sizes portions. A good place to go with the family - and even our dog was welcome!",5.0,The food was amazing. 100% recommended,5.0,I love the place and the food was delicious,Antigua vía Chinchina #km 12
12,12,Corredor 1,17174,CALDAS,17,CHINCHINÁ,Infraestructura Turística,Servicios Turísticos,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",ChIJRZd59h6dR44RmQ_WRR2e2Ms,La estación del sabor,"establishment,food,restaurant,point_of_interest",5.080153,-75.7924884,"Belalcázar-San José, San José",3.6,5,https://maps.google.com/?cid=14688664033231769497,,,,5.0,"Very good service and their food is also delicious, they are very fast, they deserve more than 5 stars",3.0,They only serve fast food after 4 p.m.,4.0,Good service,5.0,,1.0,,Belalcázar-San José
13,13,Corredor 1,17174,CALDAS,17,CHINCHINÁ,Infraestructura Turística,Servicios Turísticos,Restaurantes,"""restaurante"", ""comida típica"", ""cafetería"", ""asadero"", ""gastronomía local""",ChIJhWqXud9vR44R3XPtUVzcpbM,RESTAURANTE ASADERO,"restaurant,establishment,food,point_of_interest",5.0833948,-75.5256177,"Carrera 2ª C, Manizales",,0,https://maps.google.com/?cid=12944994993015976925,,,,,,,,,,,,,,Carrera 2ª C
