Centro Termal,Municipio,Departamento,Corredor,Priorizado,Georreferenciación
Hotel Termales del Ruíz,Villamaría,Caldas,Corredor 1: geotermal,Sí,"4.970592322344136, -75.3781470889486"
Termales Tierra Viva,Villamaría,Caldas,Corredor 1: geotermal,Sí,"5.020922609983698, -75.43680058913577"
Termales El Otoño,Villamaría,Caldas,Corredor 1: geotermal,Sí,"5.0086638221782325, -75.44011268913586"
Termales La Quinta,Villamaría,Caldas,Corredor 1: geotermal,Sí,"4.9127463517916805, -75.44770853146387"
Termales Santa Rosa,Santa Rosa de Cabal,Risaralda,Corredor 1: geotermal,Sí,"4.842633264987871, -75.55310901719623"
San Vicente Reserva Termal,Santa Rosa de Cabal,Risaralda,Corredor 1: geotermal,Sí,"4.848003013754036, -75.53291871982776"
Termales Nápoles,Machetá,Cundinamarca,Corredor 2: cultura y termas,Sí,"5.097040808469662, -73.64545021982613"
Termales Los Volcanes,Machetá,Cundinamarca,Corredor 2: cultura y termas,Sí,"5.092844035444483, -73.64068386215338"
Hotel Termales El Batán,Cuitiva,Boyacá,Corredor 2: cultura y termas,No,"5.587231002073024, -72.9849658729779"
Piscinas Érika,Iza,Boyacá,Corredor 2: cultura y termas,Sí,"5.611200634705977, -72.98946558646756"
Pozo Azul (ITP),Paipa,Boyacá,Corredor 2: cultura y termas,Sí,"5.757068919504218, -73.10928963331207"
Pozo Escondido (Hacienda el Salitre),Paipa,Boyacá,Corredor 2: cultura y termas,Sí,"5.747642504880729, -73.11029608831475"
Delfines,Paipa,Boyacá,Corredor 2: cultura y termas,Sí,"5.728491043740629, -73.11379121982145"
La Playa,Paipa,Boyacá,Corredor 2: cultura y termas,Sí,"5.7256940942563705, -73.11514584680329"
Termales Puente Tierra,Puracé,Cauca,Corredor 3: termas ancestrales,Sí,"2.3640631571933586, -76.40300988914983"
Termales de Toez,Páez,Cauca,Corredor 3: termas ancestrales,Sí,"2.772932789995213, -76.04040258843409"
Termales de Tajumbina,La Cruz,Nariño,Corredor 3: termas ancestrales,Sí,"1.57527382319119, -76.93452786216965"
Aguas Termales Chiles,Cumbal,Nariño,Corredor 3: termas ancestrales,Sí,"0.8099006914226646, -77.8618007307946"
Aguas Termales Genoy,Pasto,Nariño,Corredor 3: termas ancestrales,No,"1.2561597536377125, -77.32566690839052"
Centro turístico Ambiaku,Colón,Putumayo,Corredor 3: termas ancestrales,Sí,"1.1843925191734954, -76.97248200449775"
Acuaparque Termales del Otoño,Villamaría,Caldas,Corredor 1: geotermal,Sí,"4.9968366135142555, -75.4372771"
Centro Vacacional Paraiso Termal,Tibirita,Cundinamarca,Corredor 2: cultura y termas,Sí,"5.060873017940994, -73.52632035586197"
D'Acosta Hotel Sochagota,Paipa,Boyacá,Corredor 2: cultura y termas,Sí,"5.762116270342129, -73.11319181796662"
Termales de Toez,Toez,Cauca,Corredor 3: termas ancestrales,Sí,"2.7729756622973474, -76.0403918333297"
